# Simulation 6 (Up to date)
# 1581 data points written for 54 variables.
# Simulation warnings:
#   Body calculations may not be entirely accurate at supersonic speeds.
#   Recovery device deployment at high speed (112 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (lb),Propellant mass (lb),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (lbf),Drag force (lbf),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,12.821,0,12.87,0,0,0,0,0,1.1217,35,-118,32.129,85,0,0,0,57.763,19.369,546.4,0.8845,NaN,77.767,NaN,0.010067,675809,80.567,1.4669e-5,0.82596,0.0013092,0.63961,0.06633,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.04,12.819,85,0,NaN,41.882,849.49,1097.9,0.01,0.0039865
0.01,6.4103e-4,0.12821,102.23,0.1287,102.62,5.6083e-5,0,5.6083e-5,0,0.011217,8.9441,35,-118,32.129,84.335,0,0,0,57.763,19.369,546.4,0.8845,NaN,77.767,NaN,0.010059,675239,241.7,2.115e-5,0.82607,0.0018908,0.63973,0.06633,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5403e-5,4.04,12.819,85,0,NaN,41.882,849.49,1097.9,0.01,0.0047708
0.02,0.0070354,1.1507,188.15,1.1551,188.87,6.1552e-4,0,6.1552e-4,0,0.10067,16.461,35,-118,32.129,79.087,0,0,0,57.752,19.359,546.33,0.88437,NaN,77.761,NaN,0.010174,682996,396.47,1.4556e-4,0.82456,0.012719,0.63822,0.06633,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3825e-4,4.04,12.819,85,0,NaN,41.882,849.49,1097.9,0.01,0.0052391
0.03,0.027952,3.0326,241.44,3.0442,242.36,0.0024455,0,0.0024455,0,0.26532,21.123,35,-118,32.129,69.918,0,0,0,57.738,19.345,546.23,0.88418,NaN,77.754,NaN,0.010616,712675,492.37,8.7679e-4,0.819,0.070366,0.63266,0.06633,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6436e-4,4.04,12.819,85,0,NaN,41.882,849.49,1097.9,0.01,0.0056875
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.070354,5.448,286.85,5.4688,287.95,0.0061552,0,0.0061552,0,0.47663,25.096,35,-118,32.129,59.543,0,0,0,57.714,19.321,546.05,0.88387,NaN,77.742,NaN,0.011545,774993,573.95,0.0030904,0.80826,0.20973,0.62191,0.066331,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5455e-4,4.04,12.819,85,0,NaN,41.882,849.49,1097.9,0.01,0.0062525
0.05,0.13918,8.3179,332.34,8.3496,333.61,0.012177,0,0.012177,0,0.72772,29.076,35,-118,32.129,49.529,0,0,0,57.685,19.291,545.84,0.88349,NaN,77.727,NaN,0.013056,876460,655.53,0.0077358,0.79298,0.41048,0.60662,0.066332,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.9936e-4,4.04,12.819,85,0,NaN,41.882,849.49,1097.9,0.01,0.006723
0.06,0.23898,11.643,377.88,11.687,379.32,0.020908,0,0.020908,0,1.0186,33.06,35,-118,32.129,41.206,0,0,0,57.655,19.261,545.62,0.8831,NaN,77.712,NaN,0.015324,1028677,737.1,0.015558,0.77392,0.59932,0.58755,0.066333,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013988,4.04,12.819,85,0,NaN,41.882,849.48,1097.9,0.01,0.0072837
0.07,0.37431,15.423,417.25,15.482,418.84,0.032748,0,0.032748,0,1.3494,36.504,35,-118,32.129,34.366,0,0,0,57.625,19.231,545.4,0.88272,NaN,77.697,NaN,0.018172,1219841,807.51,0.02774,0.77059,0.75988,0.58421,0.066336,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0018531,4.04,12.819,85,0,NaN,41.881,849.48,1097.9,0.01,0.0078557
0.08,0.54942,19.598,431.12,19.673,432.77,0.048068,0,0.048068,0,1.7146,37.718,35,-118,32.129,28.958,0,0,0,57.591,19.198,545.16,0.88229,NaN,77.68,NaN,0.021522,1444720,832,0.044732,0.7706,0.87356,0.5842,0.066339,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0023546,4.04,12.819,85,0,NaN,41.88,849.47,1097.9,0.01,0.0083165
