# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-6.3489,0,6.428,0,0,0,0,0,1.0056,28.61,-80.6,9.7884,81,0,0,0,28270,5317.7,39.092,0.11298,NaN,226.73,NaN,0.0065497,464483,91.592,2.678e-4,0.7466,0.0066026,0.52759,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,0.01,0.0016097
0.01,0,0,-0.041806,0,0.042327,0,0,0,0,0,0.0066214,28.61,-80.6,9.7884,81,0,0,0,28270,5317.7,39.092,0.11298,NaN,226.73,NaN,0.0066551,471958,272.11,2.7582e-4,0.7448,0.0065866,0.52579,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,0.01,0.0019968
0.02,0,0,6.2679,0,6.346,0,0,0,0,0,0.99273,28.61,-80.6,9.7884,81,0,0,0,28265,5313,39.089,0.11297,NaN,226.72,NaN,0.0067605,479433,452.64,2.8395e-4,0.74303,0.006571,0.52402,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,0.01,0.0023548
0.03,3.1348e-4,0.0627,12.58,0.063482,12.736,4.965e-5,0,4.965e-5,0,0.0099308,1.9924,28.61,-80.6,9.7884,79.448,0,0,0,28261,5308.4,39.086,0.11297,NaN,226.7,NaN,0.006898,489187,633.16,4.6666e-4,0.74078,0.010373,0.52177,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1574e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,0.01,0.0027625
0.04,0.0015696,0.18853,18.893,0.19088,19.129,2.486e-4,0,2.486e-4,0,0.02986,2.9924,28.61,-80.6,9.7884,76.451,0,0,0,28256,5303.7,39.083,0.11296,NaN,226.69,NaN,0.0070826,502276,813.68,0.0010016,0.73785,0.021119,0.51884,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4528e-5,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,0.01,0.0031352
0.05,0.0043997,0.3775,25.209,0.38221,25.524,6.9684e-4,0,6.9684e-4,0,0.05979,3.9928,28.61,-80.6,9.7884,72.186,0,0,0,28251,5299.1,39.079,0.11295,NaN,226.68,NaN,0.0073416,520642,994.21,0.0023088,0.73391,0.045306,0.5149,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.9114e-5,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,0.01,0.0034977
0.06,0.0094353,0.62964,31.527,0.63749,31.92,0.0014944,0,0.0014944,0,0.099725,4.9934,28.61,-80.6,9.7884,66.729,0,0,0,28247,5294.4,39.076,0.11295,NaN,226.66,NaN,0.0076113,539772,1174.7,0.005125,0.72999,0.093568,0.51098,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1917e-5,14.016,154.28,81,0,NaN,7.0751,875.43,335.59,0.01,0.0038705
0.07,0.017308,0.94497,37.847,0.95675,38.319,0.0027414,0,0.0027414,0,0.14967,5.9944,28.61,-80.6,9.7884,60.491,0,0,0,28242,5289.8,39.073,0.11294,NaN,226.65,NaN,0.0080373,569978,1355.3,0.010586,0.72416,0.17332,0.50515,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2294e-4,14.016,154.28,81,0,NaN,7.0751,875.43,335.59,0.01,0.0042268
0.08,0.028651,1.3235,44.169,1.34,44.719,0.0045378,0,0.0045378,0,0.20962,6.9957,28.61,-80.6,9.7884,53.906,0,0,0,28237,5285.1,39.07,0.11294,NaN,226.64,NaN,0.0086593,614092,1535.8,0.020083,0.71635,0.28328,0.49733,0.099004,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7219e-4,14.016,154.28,81,0,NaN,7.075,875.43,335.59,0.01,0.0046316
0.09,0.044094,1.7653,50.493,1.7873,51.122,0.0069839,0,0.0069839,0,0.27959,7.9972,28.61,-80.6,9.7884,47.41,0,0,0,28233,5280.5,39.067,0.11293,NaN,226.62,NaN,0.0095078,674265,1716.3,0.035087,0.7068,0.41052,0.48778,0.099005,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2966e-4,14.016,154.28,81,0,NaN,7.0749,875.42,335.59,0.01,0.0050019
0.1,0.064272,2.2703,53.686,2.2986,54.355,0.01018,0,0.01018,0,0.35958,8.503,28.61,-80.6,9.7884,41.343,0,0,0,28228,5275.8,39.063,0.11293,NaN,226.61,NaN,0.0106,751748,1807.3,0.056944,0.69603,0.53598,0.47701,0.099006,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9537e-4,14.016,154.28,81,0,NaN,7.0748,875.42,335.59,0.01,0.0053825
0.11,0.089659,2.8073,53.753,2.8422,54.423,0.014201,0,0.014201,0,0.44463,8.5137,28.61,-80.6,9.7884,35.87,0,0,0,28221,5268.7,39.059,0.11292,NaN,226.59,NaN,0.011803,837059,1808.8,0.085001,0.68573,0.6453,0.46671,0.099007,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6523e-4,14.016,154.28,81,0,NaN,7.0746,875.42,335.59,0.01,0.0059601
