# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-8.1487,0,8.2503,0,0,0,0,0,1.2906,28.61,-80.6,9.7884,81,0,0,0,34210,9765.2,39.658,0.12011,NaN,231.03,NaN,0.0065348,463426,48.497,2.6667e-4,0.74686,0.0066049,0.52785,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0015395
2e-3,0,0,-5.3484,0,5.4151,0,0,0,0,0,0.84711,28.61,-80.6,9.7884,81,0,0,0,34210,9765.2,39.658,0.12011,NaN,231.03,NaN,0.0065387,463708,145.49,2.6697e-4,0.74679,0.0066043,0.52778,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0020305
4e-3,0,0,-2.5476,0,2.5794,0,0,0,0,0,0.4035,28.61,-80.6,9.7884,81,0,0,0,34208,9762.8,39.657,0.12011,NaN,231.03,NaN,0.0065427,463989,242.49,2.6727e-4,0.74672,0.0066037,0.52771,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0023782
6e-3,0,0,0.25358,0,0.25674,0,0,0,0,0,0.040162,28.61,-80.6,9.7884,81,0,0,0,34206,9760.4,39.656,0.1201,NaN,231.02,NaN,0.0065467,464271,339.48,2.6757e-4,0.74665,0.0066031,0.52765,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0026742
8e-3,5.0807e-7,5.083e-4,3.0552,5.1464e-4,3.0933,8.0471e-8,0,8.0471e-8,0,8.0507e-5,0.48389,28.61,-80.6,9.7884,80.987,0,0,0,34203,9758,39.655,0.1201,NaN,231.02,NaN,0.0065509,464570,436.47,2.6903e-4,0.74658,0.0066306,0.52757,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6131e-8,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0030925
0.01,7.6362e-6,0.0066201,5.8572,0.0067026,5.9302,1.2095e-6,0,1.2095e-6,0,0.0010485,0.92768,28.61,-80.6,9.7884,80.828,0,0,0,34201,9755.6,39.654,0.1201,NaN,231.02,NaN,0.0065578,465058,533.47,2.8357e-4,0.74646,0.0069743,0.52745,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6129e-7,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0036463
0.012,3.2592e-5,0.018336,8.6595,0.018565,8.7675,5.1621e-6,0,5.1621e-6,0,0.0029042,1.3715,28.61,-80.6,9.7884,80.523,0,0,0,34198,9753.2,39.653,0.12009,NaN,231.01,NaN,0.0065675,465746,630.46,3.1252e-4,0.7463,0.0076635,0.52729,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3856e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0041973
0.014,8.6585e-5,0.035657,11.462,0.036102,11.605,1.3714e-5,0,1.3714e-5,0,0.0056476,1.8155,28.61,-80.6,9.7884,80.075,0,0,0,34196,9750.7,39.652,0.12009,NaN,231.01,NaN,0.0065802,466652,727.46,3.5848e-4,0.74608,0.0087565,0.52707,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.6391e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0047125
0.016,1.8083e-4,0.058585,14.265,0.059315,14.443,2.864e-5,0,2.864e-5,0,0.0092789,2.2594,28.61,-80.6,9.7884,79.484,0,0,0,34194,9748.3,39.651,0.12009,NaN,231,NaN,0.0065965,467804,824.45,4.2549e-4,0.7458,0.010342,0.52679,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.622e-6,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.0051542
0.018,3.2653e-4,0.087118,17.069,0.088204,17.282,5.1717e-5,0,5.1717e-5,0,0.013798,2.7035,28.61,-80.6,9.7884,78.751,0,0,0,34191,9745.9,39.65,0.12009,NaN,231,NaN,0.0066167,469238,921.45,5.1921e-4,0.74545,0.012543,0.52644,0.099003,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1334e-5,14.016,154.28,81,0,NaN,7.0752,875.43,335.59,2e-3,0.005637
