# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,-8.3051,0,8.3674,0,0,0,0,0,1.0197,28.61,-80.6,9.7884,0,0,0,0,25878,3652,38.095,0.11011,NaN,221.26,NaN,0,0,34.885,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0049317
2e-3,0,0,-5.6291,0,5.6714,0,0,0,0,0,0.69116,28.61,-80.6,9.7884,0,0,0,0,25878,3652,38.095,0.11011,NaN,221.26,NaN,0,0,104.65,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0063825
4e-3,0,0,-2.9528,0,2.975,0,0,0,0,0,0.36256,28.61,-80.6,9.7884,0,0,0,0,25877,3650.8,38.094,0.1101,NaN,221.26,NaN,0,0,174.42,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0074704
6e-3,0,0,-0.27628,0,0.27835,0,0,0,0,0,0.033923,28.61,-80.6,9.7884,0,0,0,0,25876,3649.6,38.093,0.1101,NaN,221.26,NaN,0,0,244.19,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0085604
8e-3,0,0,2.4005,0,2.4185,0,0,0,0,0,0.29474,28.61,-80.6,9.7884,0,0,0,0,25875,3648.4,38.092,0.1101,NaN,221.25,NaN,0,0,313.96,0,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.0093256
0.01,4.8017e-6,0.0048019,5.0775,0.0048379,5.1156,5.8957e-7,0,5.8957e-7,0,5.896e-4,0.62344,28.61,-80.6,9.7884,0,0,0,0,25874,3647.3,38.091,0.1101,NaN,221.25,NaN,1.4416e-5,1022.4,383.73,3.4261e-7,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.2079e-7,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.010117
0.012,2.4561e-5,0.014958,7.7547,0.01507,7.813,3.0158e-6,0,3.0158e-6,0,0.0018366,0.95216,28.61,-80.6,9.7884,0,0,0,0,25872,3646.1,38.09,0.1101,NaN,221.24,NaN,4.4907e-5,3184.7,453.5,3.3245e-6,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9338e-6,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.01097
0.014,6.9988e-5,0.030469,10.432,0.030698,10.511,8.5934e-6,0,8.5934e-6,0,0.0037411,1.2809,28.61,-80.6,9.7884,0,0,0,0,25871,3644.9,38.089,0.1101,NaN,221.24,NaN,9.1474e-5,6487.1,523.27,1.3794e-5,1.7436,1.7436,1.5246,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.939e-6,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.011804
0.016,1.5179e-4,0.051335,13.11,0.05172,13.208,1.8638e-5,0,1.8638e-5,0,0.0063031,1.6097,28.61,-80.6,9.7884,0,0,0,0,25870,3643.8,38.088,0.1101,NaN,221.24,NaN,1.5412e-4,10930,593.04,3.8107e-5,1.6968,1.6968,1.4778,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.6366e-6,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.012681
0.018,2.8068e-4,0.077556,15.788,0.078139,15.906,3.4463e-5,0,3.4463e-5,0,0.0095227,1.9385,28.61,-80.6,9.7884,0,0,0,0,25869,3642.6,38.087,0.11009,NaN,221.23,NaN,2.3284e-4,16513,662.81,7.6884e-5,1.4999,1.4999,1.2809,0.099002,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0027e-5,14.016,154.28,83,0,NaN,7.0752,875.43,335.59,2e-3,0.013495
