 ,Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.01,0.01,0.01,0,0.449832,0,123.8549,50,0,0,47.52417351,47.52417351,0.0001391,0.4752417,0.4752417,1.391E-06,89.9999,89.9999,0.002376208,6.95498E-09
0.02,0.02,0.01,0,0.449832,0,202.4145,49.99632,8.19806E-06,0,98.08526251,98.08526251,0.000227345,1.456094,1.456094,3.66445E-06,89.9999,89.9999,0.01203289,3.22322E-08
0.03,0.03,0.01,0,0.4498319,0,280.9741,49.98845,7.69592E-05,0,148.668941,148.668941,0.00031563,2.942783,2.942783,6.82075E-06,89.9999,89.9999,0.03402727,8.46582E-08
0.04,0.04,0.01,0,0.4498318,0,359.5336,49.97668,0.000314339,0,199.2864671,199.2864671,0.000403975,4.935648,4.935648,1.08605E-05,89.9999,89.9999,0.07341942,1.73065E-07
0.05,0.05,0.01,0,0.4498316,0,438.0933,49.96101,0.000884238,0,249.9497109,249.9497109,0.000492399,7.435145,7.435145,1.57845E-05,89.9999,89.9999,0.1352734,3.06289E-07
0.05999999,0.05999999,0.01,0,0.4498314,0,516.6529,49.94144,0.00200659,0,300.6703371,300.6703371,0.000580923,10.44185,10.44185,2.15937E-05,89.9999,89.9999,0.2246584,4.9318E-07
0.06999999,0.06999999,0.01,0,0.449831,0,595.2125,49.91798,0.003957608,0,351.4601192,351.4601192,0.000669568,13.95645,13.95645,2.82894E-05,89.9999,89.9999,0.3466499,7.42596E-07
0.07999999,0.07999999,0.01208836,0,0.4720728,0,673.7722,49.89062,0.00741969,0,402.330681,402.330681,0.000758354,17.97976,17.97976,3.58729E-05,89.9999,89.9999,0.5063309,1.06341E-06
0.08999999,0.08999999,0.01557315,0,0.4914576,0,712.5076,49.85936,0.01281972,0,427.5953829,427.5953829,0.000802449,22.25571,22.25571,4.38974E-05,89.9999,89.9999,0.7075083,1.46226E-06
0.09999999,0.09999999,0.01927678,0,0.5000913,0,711.4188,49.8247,0.0199873,0,427.2074662,427.2074662,0.000801772,26.52779,26.52779,5.19152E-05,89.9999,89.9999,0.9514258,1.94132E-06
0.11,0.11,0.02297706,0,0.5029776,0,710.33,49.7896,0.02856072,0,426.822205,426.822205,0.000801099,30.79601,30.79601,5.99262E-05,89.9999,89.9999,1.238045,2.50053E-06
0.12,0.12,0.026674,0,0.5030028,0,709.2412,49.75455,0.03849228,0,426.4350337,426.4350337,0.000800424,35.06036,35.06036,6.79304E-05,89.9999,89.9999,1.567327,3.13981E-06
0.13,0.13,0.03036761,0,0.5015247,0,708.1525,49.71956,0.04974333,0,426.0459682,426.0459682,0.000799745,39.32082,39.32082,7.59278E-05,89.9999,89.9999,1.939232,3.8591E-06
0.14,0.14,0.03405786,0,0.4992389,0,707.0638,49.68462,0.06228137,0,425.655099,425.655099,0.000799062,43.57737,43.57737,8.39185E-05,89.9999,89.9999,2.353724,4.65834E-06
0.15,0.15,0.03774473,0,0.4965239,0,705.9751,49.64974,0.07607835,0,425.2623011,425.2623011,0.000798377,47.82999,47.82999,9.19022E-05,89.9999,89.9999,2.81076,5.53744E-06
0.16,0.16,0.04142822,0,0.4935949,0,704.8865,49.61491,0.09110954,0,424.8677286,424.8677286,0.000797688,52.07867,52.07867,9.98791E-05,89.9999,89.9999,3.310303,6.49635E-06
0.17,0.17,0.04510831,0,0.4905784,0,703.7979,49.58014,0.1073529,0,424.4713604,424.4713604,0.000796996,56.32338,56.32338,0.000107849,89.9999,89.9999,3.852314,7.53499E-06
0.18,0.18,0.04878497,0,0.4875497,0,702.7093,49.54542,0.1247884,0,424.0730947,424.0730947,0.000796301,60.56411,60.56411,0.000115812,89.9999,89.9999,4.436751,8.65329E-06
0.19,0.19,0.05245823,0,0.484554,0,701.9513,49.51075,0.1433979,0,423.8965844,423.8965844,0.000874346,64.80307575,64.80307575,0.000124556,89.99989,89.99989,5.084782,9.85513E-06
0.2,0.2,0.05612996,0,0.4816171,0,701.5237,49.47614,0.1631751,0,423.9243682,423.9243682,0.000878753,69.04231934,69.04231934,0.000133343,89.99989,89.99989,5.775205,1.11446E-05
0.21,0.21,0.05980197,0,0.4787531,0,701.0963,49.44154,0.1841168,0,423.9512697,423.9512697,0.00088291,73.28183194,73.28183194,0.000142172,89.99989,89.99989,6.508023,1.25222E-05
0.22,0.22,0.06347423,0,0.4759709,0,700.6689,49.40697,0.206212,0,423.9772653,423.9772653,0.000886845,77.5216045,77.5216045,0.000151041,89.99989,89.99989,7.283239,1.39883E-05
0.23,0.23,0.06714676,0,0.4732744,0,700.2415,49.37243,0.2294502,0,424.0023787,424.0023787,0.000890583,81.76162819,81.76162819,0.000159946,89.99989,89.99989,8.100856,1.55432E-05
0.24,0.24,0.07081951,0,0.4706651,0,699.8141,49.3379,0.2538222,0,424.0266577,424.0266577,0.000894142,86.00189467,86.00189467,0.000168888,89.99989,89.99989,8.960875,1.71874E-05
0.25,0.25,0.07449251,0,0.4692117,0,699.3868,49.30339,0.2799571,0,424.049673,424.049673,0.000897538,90.24239131,90.24239131,0.000177863,89.99989,89.99989,9.863298,1.89211E-05
0.26,0.26,0.07816575,0,0.4682583,0,698.9595,49.26891,0.3076101,0,424.0714565,424.0714565,0.000900786,94.48310578,94.48310578,0.000186871,89.99989,89.99989,10.80813,2.07448E-05
0.27,0.27,0.0818392,0,0.4672857,0,698.5322,49.23444,0.3364896,0,424.0922705,424.0922705,0.0009039,98.72402839,98.72402839,0.00019591,89.99989,89.99989,11.79537,2.26587E-05
0.28,0.28,0.08551287,0,0.4663019,0,698.105,49.2,0.3665894,0,424.1121864,424.1121864,0.000906889,102.9651502,102.9651502,0.000204979,89.99989,89.99989,12.82502,2.46632E-05
0.29,0.29,0.08918674,0,0.4653132,0,697.6779,49.16558,0.3979042,0,424.1311565,424.1311565,0.000909765,107.2064616,107.2064616,0.000214077,89.99989,89.99989,13.89709,2.67584E-05
0.3,0.3,0.09286083,0,0.4643243,0,697.2507,49.13118,0.4304283,0,424.1491572,424.1491571,0.000912535,111.4479531,111.4479531,0.000223202,89.99989,89.99989,15.01156,2.89448E-05
0.31,0.31,0.09653509,0,0.4633388,0,696.8235,49.0968,0.464157,0,424.1662677,424.1662677,0.000915206,115.6896157,115.6896157,0.000232354,89.99989,89.99989,16.16846,3.12226E-05
0.32,0.32,0.1002096,0,0.4623596,0,696.3965,49.06244,0.4990849,0,424.1824563,424.1824563,0.000917787,119.9314402,119.9314402,0.000241532,89.99989,89.99989,17.36777,3.3592E-05
0.33,0.33,0.1038842,0,0.4613889,0,696.6991,49.02811,0.5352078,0,424.6764914,424.6764914,0.000921248,124.178205,124.178205,0.000250744,89.99989,89.99989,18.60956,3.60534E-05
0.3399999,0.3399999,0.1075632,0,0.4604274,0,697.1841,48.99377,0.5725635,0,425.2901729,425.2901729,0.000924878,128.4311066,128.4311066,0.000259993,89.99989,89.99989,19.89387,3.86071E-05
0.3499999,0.3499999,0.1112475,0,0.459476,0,697.6692,48.95942,0.6111631,0,425.9041722,425.9041722,0.000928442,132.6901482,132.6901482,0.000269278,89.99989,89.99989,21.22077,4.12535E-05
0.3599999,0.3599999,0.1149372,0,0.4585358,0,698.1544,48.92504,0.6510074,0,426.5184418,426.5184418,0.000931943,136.9553326,136.9553326,0.000278597,89.99989,89.99989,22.59032,4.39928E-05
0.3699999,0.3699999,0.1186323,0,0.4576074,0,698.6395,48.89064,0.6920975,0,427.1329657,427.1329657,0.000935386,141.2266621,141.2266621,0.000287951,89.99989,89.99989,24.00259,4.68256E-05
0.3799999,0.3799999,0.1223327,0,0.4566915,0,699.1248,48.85622,0.7344343,0,427.7478393,427.7478393,0.000938774,145.5041404,145.5041404,0.000297339,89.99988,89.99988,25.45763,4.9752E-05
0.3899999,0.3899999,0.1260385,0,0.4557884,0,699.61,48.82177,0.7780188,0,428.3629672,428.3629672,0.000942109,149.78777,149.78777,0.00030676,89.99988,89.99988,26.95551,5.27725E-05
0.3999999,0.3999999,0.1297497,0,0.4548984,0,700.0953,48.7873,0.8228531,0,428.9784448,428.9784448,0.000945396,154.0775543,154.0775543,0.000316214,89.99988,89.99988,28.49628,5.58874E-05
0.4099999,0.4099999,0.1334663,0,0.4540217,0,700.5805,48.7528,0.8689382,0,429.5940654,429.5940654,0.000948636,158.3734949,158.3734949,0.0003257,89.99988,89.99988,30.08002,5.90969E-05
0.4199999,0.4199999,0.1371882,0,0.4531582,0,701.0659,48.71828,0.9162759,0,430.2100993,430.2100993,0.000951833,162.6755958,162.6755958,0.000335218,89.99988,89.99988,31.70677,6.24015E-05
0.4299999,0.4299999,0.1409156,0,0.4523079,0,701.5513,48.68373,0.9648681,0,430.8264908,430.8264908,0.000954988,166.9838606,166.9838606,0.000344768,89.99988,89.99988,33.37661,6.58015E-05
0.4399998,0.4399998,0.1446484,0,0.4514709,0,702.0367,48.64916,1.014715,0,431.443089,431.443089,0.000958103,171.2982914,171.2982914,0.000354349,89.99988,89.99988,35.0896,6.92971E-05
0.4499998,0.4499998,0.1483865,0,0.4506469,0,702.5221,48.61457,1.065821,0,432.0599573,432.0599573,0.000961181,175.6188909,175.6188909,0.000363961,89.99988,89.99988,36.84578,7.28886E-05
0.4599998,0.4599998,0.1521301,0,0.4498359,0,703.0076,48.57996,1.118185,0,432.6771515,432.6771515,0.000964223,179.9456623,179.9456623,0.000373603,89.99988,89.99988,38.64524,7.65764E-05
0.4699998,0.4699998,0.1558791,0,0.4490376,0,703.4932,48.54531,1.17181,0,433.2946636,433.2946636,0.000967232,184.2786088,184.2786088,0.000383276,89.99988,89.99988,40.48803,8.03608E-05
0.4799998,0.4799998,0.1596335,0,0.4482519,0,703.9786,48.51065,1.226699,0,433.9124061,433.9124061,0.000970207,188.6177328,188.6177328,0.000392978,89.99988,89.99988,42.3742,8.42421E-05
0.4899998,0.4899998,0.1633933,0,0.4474786,0,704.4642,48.47596,1.282853,0,434.530546,434.530546,0.000973152,192.9630382,192.9630382,0.000402709,89.99988,89.99988,44.30383,8.82205E-05
0.4999998,0.4999998,0.1671586,0,0.4467174,0,704.9498,48.44125,1.340275,0,435.1489403,435.1489403,0.000976066,197.3145275,197.3145275,0.00041247,89.99988,89.99988,46.27698,9.22964E-05
0.5099998,0.5099998,0.1709292,0,0.4459681,0,705.4355,48.40651,1.398965,0,435.7676524,435.7676524,0.000978953,201.6722039,201.6722039,0.000422259,89.99988,89.99988,48.2937,9.64701E-05
0.5199998,0.5199998,0.1747053,0,0.4452305,0,705.9212,48.37175,1.458929,0,436.3866427,436.3866427,0.000981812,206.0360702,206.0360702,0.000432078,89.99988,89.99988,50.35406,0.000100742
0.5299998,0.5299998,0.1784869,0,0.4445043,0,706.4069,48.33697,1.520164,0,437.0058793,437.0058793,0.000984646,210.4061289,210.4061289,0.000441924,89.99988,89.99988,52.45812,0.000105112
0.5399998,0.5399998,0.1822738,0,0.4437893,0,706.8927,48.30216,1.582677,0,437.6254418,437.6254418,0.000987454,214.7823832,214.7823832,0.000451799,89.99988,89.99988,54.60595,0.00010958
0.5499998,0.5499998,0.1860663,0,0.4430853,0,707.3785,48.26733,1.646468,0,438.2452904,438.2452904,0.000990239,219.164836,219.164836,0.000461701,89.99988,89.99988,56.79759,0.000114148
0.5599998,0.5599998,0.1898641,0,0.442392,0,707.8643,48.23247,1.71154,0,438.8655681,438.8655681,0.000993001,223.5534916,223.5534916,0.000471631,89.99988,89.99988,59.03313,0.000118815
0.5699998,0.5699998,0.1936675,0,0.4417091,0,708.3502,48.19759,1.777895,0,439.4860684,439.4860684,0.00099574,227.9483522,227.9483522,0.000481588,89.99988,89.99988,61.31261,0.000123581
0.5799997,0.5799997,0.1974763,0,0.4410364,0,708.8361,48.16268,1.845534,0,440.1067912,440.1067912,0.000998458,232.34942,232.34942,0.000491573,89.99988,89.99988,63.6361,0.000128446
0.5899997,0.5899997,0.2012905,0,0.4403699,0,709.322,48.12775,1.914446,0,440.7278716,440.7278716,0.001001156,236.7566986,236.7566986,0.000501585,89.99988,89.99988,66.00367,0.000133412
0.5999997,0.5999997,0.2051102,0,0.439717,0,709.808,48.0928,1.984665,0,441.3492699,441.3492699,0.001003834,241.1701912,241.1701912,0.000511623,89.99988,89.99988,68.41537,0.000138478
0.6099997,0.6099997,0.2089354,0,0.4390737,0,710.2939,48.05782,2.056175,0,441.970843,441.970843,0.001006493,245.5898996,245.5898996,0.000521688,89.99988,89.99988,70.87128,0.000143645
0.6199997,0.6199997,0.2127661,0,0.4384397,0,710.78,48.02282,2.128982,0,442.5928771,442.5928771,0.001009135,250.0158283,250.0158283,0.000531779,89.99988,89.99988,73.37144,0.000148912
0.6299997,0.6299997,0.2166022,0,0.4378148,0,711.2661,47.98779,2.203087,0,443.2151496,443.2151496,0.001011758,254.4479796,254.4479796,0.000541897,89.99988,89.99988,75.91592,0.000154281
