Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.520578579,0.520578579,0.506891936,0.520578579,0.506891936,0,0,0,0,6.508793917,88.33878973,88.33878973,766972.2
0.02,0,0.548966616,0.548966616,0.535279974,0.548966616,0.535279974,0,0,0,0,6.508793917,88.33878973,88.33878973,1533944
0.03,0,0.541635448,0.541635448,0.527948805,0.541635448,0.527948805,0,0,0,0,6.508793917,88.33878973,88.33878973,2300917
0.04,0,0.530700845,0.530700845,0.517014203,0.530700845,0.517014203,0,0,0,0,6.508793917,88.33878973,88.33878973,3067889
0.05,0,0.520169732,0.520169732,0.506483089,0.520169732,0.506483089,0,0,0,0,6.508793917,88.33878973,88.33878973,3834862
0.06,0,0.515134087,0.515134087,0.501447445,0.515134087,0.501447445,0,0,0,0,6.508793917,88.33878973,88.33878973,4601834
0.07,0,0.510795079,0.510795079,0.497108436,0.510795079,0.497108436,0,0,0,0,6.508793917,88.33878973,88.33878973,5368806
0.08,0,0.506573316,0.506573316,0.492886673,0.506573316,0.492886673,0,0,0,0,6.508793917,88.33878973,88.33878973,6135778
0.09,0,0.502560426,0.502560426,0.488873784,0.502560426,0.488873784,0,0,0,0,6.508793917,88.33878973,88.33878973,6902750
0.1,0,0.498782416,0.498782416,0.485095773,0.498782416,0.485095773,0,0,0,0,6.508793917,88.33878973,88.33878973,7669723
0.11,0,0.495237982,0.495237982,0.481551339,0.495237982,0.481551339,0,0,0,0,6.508793917,88.33878973,88.33878973,8436695
0.12,0,0.491914656,0.491914656,0.478228013,0.491914656,0.478228013,0,0,0,0,6.508793917,88.33878973,88.33878973,9203667
0.13,0,0.488795979,0.488795979,0.475109336,0.488795979,0.475109336,0,0,0,0,6.508793917,88.33878973,88.33878973,9970639
0.14,0,0.485864725,0.485864725,0.472178082,0.485864725,0.472178082,0,0,0,0,6.508793917,88.33878973,88.33878973,10737610
0.15,0,0.483100681,0.483100681,0.469414039,0.483100681,0.469414039,0,0,0,0,6.508793917,88.33878973,88.33878973,11504580
