Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.01,0.01,0,0.5542961,0,168.3015,62.8,0,0,73.77596,95.31544,5.384871,54.43227466,53.40833713,10.50818964,0.544322776,0.5340834,0.1050819,83,83,0.002670417,0.00052541
0.02,0.01,0,0.5542961,0,329.4351,62.79609,1.33336E-05,0,73.75192,95.31544,5.390881,136.9102637,135.3561619,20.57011753,1.913057703,1.887645,0.3107831,83,83,0.01477906,0.002604735
0.03,0.01,0,0.554296,0,458.7468,62.78435,0.000164698,0,73.72788,95.31544,5.396891,203.1895562,201.1596052,28.64976439,3.944721104,3.899241,0.5972807,83,83,0.04371349,0.007145054
0.04,0.01,0,0.554296,0,540.3258,62.76509,0.000700269,0,73.70384,95.31544,5.402901,245.0731269,242.737401,33.75487591,6.39530792,6.326615,0.9348294,83,83,0.09484276,0.0148056
0.05,0.01,0,0.5542957,0,621.9048,62.74118,0.001840579,0,73.6798,95.31544,5.408911,287.0076629,284.363913,38.86596893,9.265267477,9.170254,1.323489,83,83,0.1723271,0.0260972
0.05999999,0.01,0,0.5542954,0,703.4838,62.7133,0.003863189,0,73.65576,95.31544,5.414922,328.9976798,326.0443361,43.98368129,12.55514322,12.4307,1.763326,83,83,0.2803319,0.04153127
0.06999999,0.01082594,0,0.5653955,0,785.0629,62.68147,0.007235743,0,73.63172,95.31544,5.420932,371.0506535,367.7864819,49.10897241,16.26554938,16.10856,2.254416,83,83,0.4230282,0.06161998
0.07999999,0.01402532,0,0.5918556,0,829.4053,62.64567,0.01271272,0,73.60767,95.31544,5.426942,394.0505634,390.6161542,51.9121039,20.20597743,20.01472,2.773537,83,83,0.6036445,0.08675975
0.08999999,0.01742305,0,0.6043321,0,848.9231,62.60645,0.02003173,0,73.58363,95.31544,5.432952,404.3435145,400.8328762,53.16655954,24.24935652,24.02305,3.305202,83,83,0.8238334,0.1171534
0.09999999,0.02090956,0,0.6094199,0,868.4409,62.56604,0.02909356,0,73.55959,95.31544,5.438962,414.6570094,411.0699653,54.42351611,28.39588094,28.13375,3.849437,83,83,1.084617,0.1529266
