Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5971361735721323695620907083,0.597136173572132,0.583449531112582,0.597136173572132,0.583449531112582,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,781765.4
0.02,0,0.6242132922653254714695876932,0.624213292265326,0.610526649805775,0.624213292265326,0.610526649805775,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,1563531
0.03,0,0.6161094784161596876810183905,0.61610947841616,0.60242283595661,0.61610947841616,0.60242283595661,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,2345296
0.04,0,0.6046530073124489025323013768,0.604653007312449,0.590966364852899,0.604653007312449,0.590966364852899,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,3127062
0.05,0,0.5937352157205810865102832110,0.593735215720581,0.580048573261031,0.593735215720581,0.580048573261031,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,3908827
0.06,0,0.5884674085569387004505423000,0.588467408556939,0.574780766097389,0.588467408556939,0.574780766097389,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,4690592
0.07,0,0.5839462715371423709700016714,0.583946271537142,0.570259629077592,0.583946271537142,0.570259629077592,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,5472358
0.08,0,0.5795691535889099289035678203,0.57956915358891,0.56588251112936,0.57956915358891,0.56588251112936,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,6254123
0.09,0,0.5754212244217294634814415193,0.575421224421729,0.561734581962179,0.575421224421729,0.561734581962179,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,7035889
0.10,0,0.5731179186673888697988624450,0.573117918667389,0.559431276207839,0.573117918667389,0.559431276207839,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,7817654
0.11,0,0.5730426740385000901143111910,0.5730426740385,0.55935603157895,0.5730426740385,0.55935603157895,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,8599419
0.12,0,0.5729675241496051626024873227,0.572967524149605,0.559280881690055,0.572967524149605,0.559280881690055,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,9381185
0.13,0,0.5728924689437496533518643365,0.57289246894375,0.559205826484199,0.57289246894375,0.559205826484199,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,10162950
0.14,0,0.5728175083621248950806822772,0.572817508362125,0.559130865902575,0.572817508362125,0.559130865902575,0,0,0,0,13.878116601481320524044131209,95.31544640219902331069376379,90.18785923935783189923013003,10944720
