Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4964729,0,163.0716,61,0,0,79.9818,95.9453,3.990875,54.2187142494985,53.1958142390346,10.4820953208268,11.8527643545148,0.5319582,0.104821,83,83,0.002659791,0.000524105
0.02,S,0.02,0.01026624,0,0.5000657,0,324.2052,60.99609,0.005668888,0,79.96362,95.9453,3.995423,139.128722143515,137.558973483314,20.8405887513812,12.1992872715729,1.907548,0.3132269,83,83,0.01485732,0.002614344
0.03,S,0.03,0.01056639,0,0.5038252,0,453.5169,60.98434,0.006050348,0,79.94542,95.9453,3.999971,207.365266224757,205.30494644748,29.1587482698043,12.9607881862985,3.960597,0.6048144,83,83,0.04419804,0.007204551
0.04,S,0.04,0.01122596,0,0.5111208,0,535.0959,60.96509,0.006928152,0,79.92722,95.9453,4.004519,250.486852508516,248.111446600081,34.4147257091817,14.226872279473,6.441711,0.9489617,83,83,0.09620959,0.01497343
0.05,S,0.05,0.01232258,0,0.5208167,0,616.6748,60.94118,0.008506171,0,79.90903,95.9453,4.009068,293.662032461546,290.969284398101,39.6770065189267,16.0804374877823,9.351404,1.345732,83,83,0.1751752,0.0264469
0.05999999,S,0.05999999,0.01392804,0,0.5309339,0,698.2538,60.9133,0.0110781,0,79.89084,95.9453,4.013616,336.895801050211,333.884129660788,44.946287120536,18.5508944365299,12.69025,1.795195,83,83,0.2853834,0.04215154
0.06999999,S,0.06999999,0.01606783,0,0.5393748,0,779.8328,60.88146,0.0149778,0,79.87265,95.9453,4.018165,380.195994036615,376.864149158991,50.2235697671892,21.6294301163008,16.45889,2.297431,83,83,0.4311291,0.06261466
0.07999999,S,0.07999999,0.01873431,0,0.5449529,0,824.1749,60.84566,0.02057192,0,79.85445,95.9453,4.022713,403.881561599597,400.374345061109,53.1102590562024,25.1166336302899,20.46264,2.828534,83,83,0.6157368,0.08824449
0.08999999,S,0.08999999,0.02175476,0,0.5474464,0,843.6925,60.80645,0.02786683,0,79.83626,95.9453,4.027261,414.485487436779,410.899714195203,54.4026117939653,28.8450009558089,24.57164,3.37256,83,83,0.8409082,0.11925
0.09999999,S,0.09999999,0.0249841,0,0.5475881,0,863.2101,60.76604,0.03676336,0,79.81807,95.9453,4.03181,425.111245963654,421.446730065398,55.6976225879859,32.7726891218353,28.78611,3.929536,83,83,1.107697,0.1557604
0.11,S,0.11,0.02838609,0,0.5461659,0,882.7277,60.72468,0.04733311,0,79.79987,95.9453,4.036358,435.757517731987,432.014084676762,56.9951305011465,36.8729552203013,33.10625,4.499487,83,83,1.417159,0.1979056
0.12,S,0.12,0.03193757,0,0.5437334,0,902.2454,60.68238,0.05965045,0,79.78168,95.9453,4.040906,446.424955827571,442.602427725864,58.2952155568557,41.1282376552173,37.53228,5.082439,83,83,1.770351,0.2458152
