Time (sec),Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.01,0.01,0.01,0,0.4743709,0,168.8858,75,0,0,40.70485212,39.73570989,8.829402333,11.83096881,0.3973571,0.08829401,83,83,0.001986786,0.00044147
0.02,0.02,0.01024737,0,0.477961,0,330.0193,74.99609,0.005398395,0,109.714881,108.3496649,17.25413665,12.08788608,1.480854,0.2608354,83,83,0.01137784,0.002187117
0.03,0.03,0.01046989,0,0.4810014,0,459.3311,74.98434,0.005671247,0,165.1979712,163.4425649,24.01869436,12.6273388,3.11528,0.5010223,83,83,0.03435851,0.005996405
0.04,0.04,0.01093714,0,0.4868514,0,540.91,74.96509,0.006263992,0,200.2527812,198.2441696,28.291794,13.51797594,5.097722,0.7839402,83,83,0.07542352,0.01242122
0.05,0.05,0.01170857,0,0.4951255,0,622.489,74.94118,0.00730078,0,235.344442,233.0799451,32.56908941,14.83890697,7.428521,1.109631,83,83,0.1380547,0.02188907
0.05999999,0.05999999,0.01285269,0,0.5048325,0,704.0681,74.9133,0.00896976,0,270.4757499,267.9536013,36.85103592,16.63689874,10.10806,1.478141,83,83,0.2257376,0.03482793
0.06999999,0.06999999,0.01441002,0,0.5143911,0,785.6471,74.88146,0.01148859,0,305.6516973,302.8705994,41.13830445,18.92695516,13.13677,1.889524,83,83,0.3419618,0.05166626
0.07999999,0.07999999,0.01639356,0,0.5223828,0,829.9893,74.84566,0.01510001,0,324.8715324,321.9486498,43.48079425,21.56896332,16.35626,2.324332,83,83,0.4894269,0.07273554
0.08999999,0.08999999,0.01868194,0,0.5278375,0,849.5071,74.80644,0.01981452,0,333.4505077,330.464283,44.52638247,24.4328326,19.6609,2.769596,83,83,0.6695127,0.09820518
0.09999999,0.09999999,0.02116249,0,0.5308933,0,869.0249,74.76604,0.02557274,0,342.0439826,338.9942783,45.57373447,27.48058789,23.05084,3.225333,83,83,0.8830714,0.1281798
0.11,0.11,0.02380232,0,0.5321136,0,888.5427,74.72469,0.03242468,0,350.6511668,347.5378535,46.62275374,30.68631596,26.52622,3.691561,83,83,1.130957,0.1627643
0.12,0.12,0.02657898,0,0.5319881,0,908.0607,74.68238,0.04042102,0,359.2724522,356.0953993,47.67348824,34.03210877,30.08717,4.168296,83,83,1.414024,0.2020636
0.13,0.13,0.02947697,0,0.5308979,0,908.9344,74.63913,0.04961361,0,359.8717729,356.6902882,47.74653127,37.42938048,33.65407,4.645761,83,83,1.73273,0.2461338
0.14,0.14,0.03241955,0,0.5291694,0,905.1472,74.59529,0.05981741,0,358.4641917,355.2931156,47.57498007,40.84772365,37.207,5.121511,83,83,2.087035,0.2949702
0.15,0.15,0.0353804,0,0.5270427,0,901.36,74.55161,0.07095516,0,357.0537653,353.8931182,47.40308199,44.27881164,40.74593,5.595542,83,83,2.4768,0.3485555
0.16,0.16,0.0383523,0,0.5246747,0,897.5729,74.50812,0.08300018,0,355.6403633,352.4901666,47.23082113,47.71670012,44.27083,6.06785,83,83,2.901884,0.4068724
0.17,0.17,0.0413301,0,0.5221696,0,893.7858,74.46481,0.09592761,0,354.2239359,351.0842112,47.05819139,51.15704115,47.78167,6.538432,83,83,3.362146,0.4699038
0.18,0.18,0.04431004,0,0.5195978,0,889.9987,74.42169,0.1097142,0,352.8046009,349.6753691,46.88520755,54.5965847,51.27842,7.007284,83,83,3.857447,0.5376324
0.19,0.19,0.0472893,0,0.5170059,0,886.2117,74.37875,0.1243381,0,351.3822741,348.2635566,46.71185854,58.03285431,54.76105,7.474403,83,83,4.387644,0.6100408
0.2,0.2,0.05026574,0,0.5144258,0,882.4247,74.336,0.1397787,0,349.9570952,346.8489123,46.53816219,61.4639394,58.22954,7.939785,83,83,4.952597,0.6871118
0.21,0.21,0.05323771,0,0.5118784,0,878.6378,74.29343,0.1560163,0,348.5289893,345.4313619,46.36410896,64.88832771,61.68386,8.403426,83,83,5.552164,0.7688279
0.22,0.22,0.05620389,0,0.5093776,0,874.851,74.25104,0.1730323,0,347.0979963,344.0109451,46.18970372,68.30480205,65.12397,8.865323,83,83,6.186203,0.8551716
0.23,0.23,0.05916324,0,0.5069323,0,871.0641,74.20883,0.1908085,0,345.66413,342.5876754,46.01494814,71.71239485,68.54985,9.325473,83,83,6.854572,0.9461256
0.24,0.24,0.06211491,0,0.5045479,0,867.2775,74.16681,0.2093278,0,344.22743,341.1615922,45.83984705,75.11029626,71.96146,9.783872,83,83,7.557129,1.041672
0.25,0.25,0.06505821,0,0.5022274,0,863.4908,74.12497,0.2285733,0,342.7878564,339.7326559,45.6643956,78.49785434,75.35878,10.24052,83,83,8.29373,1.141794
0.26,0.26,0.06799258,0,0.5008831,0,859.7041,74.08331,0.248982,0,341.3452609,338.3007191,45.48857609,81.87452375,78.74179,10.69541,83,83,9.064233,1.246474
0.27,0.27,0.07091752,0,0.4999624,0,855.9175,74.04184,0.2703586,0,339.8996895,336.8658277,45.31239333,85.2398247,82.11045,11.14853,83,83,9.868494,1.355694
0.28,0.28,0.07383265,0,0.4990263,0,852.1309,74.00056,0.2924842,0,338.4512754,335.4281139,45.13586437,88.59336221,85.46473,11.59989,83,83,10.70637,1.469436
0.29,0.29,0.07673761,0,0.4980812,0,848.3445,73.95946,0.3153441,0,337.0000611,333.9876196,44.95899396,91.93479245,88.8046,12.04948,83,83,11.57772,1.587683
0.3,0.3,0.07963211,0,0.4971325,0,844.558,73.91854,0.3389237,0,335.5459792,332.5442781,44.78177392,95.26382897,92.13004,12.4973,83,83,12.48239,1.710417
0.31,0.31,0.0825159,0,0.4961843,0,840.7715,73.87781,0.3632088,0,334.0890954,331.0981545,44.60421221,98.5802117,95.44102,12.94334,83,83,13.42025,1.83762
0.32,0.32,0.08538875,0,0.4952398,0,836.9852,73.83726,0.3881856,0,332.6294218,329.6492609,44.42631034,101.8837139,98.73751,13.3876,83,83,14.39114,1.969275
0.33,0.33,0.08825047,0,0.4943016,0,833.1989,73.79689,0.4138398,0,331.1670055,328.1976439,44.24807443,105.1741548,102.0195,13.83008,83,83,15.39492,2.105363
0.3399999,0.3399999,0.09110091,0,0.4933717,0,829.4127,73.75671,0.4401583,0,329.7018162,326.7432735,44.06949999,108.4512951,105.2869,14.27077,83,83,16.43146,2.245867
0.3499999,0.3499999,0.09393986,0,0.4924517,0,825.6264,73.71671,0.4671275,0,328.2338552,325.2861509,43.89058798,111.7150937,108.5398,14.70968,83,83,17.50059,2.390769
0.3599999,0.3599999,0.09676727,0,0.4915428,0,821.8402,73.6769,0.4947347,0,326.7631161,323.8262698,43.71133721,114.965334,111.7781,15.14679,83,83,18.60218,2.540052
0.3699999,0.3699999,0.09958297,6.361941,0.490646,0,821.1622,73.63727,0.5229667,0,326.6475924,323.7116,43.69725,118.2153354,115.0152,15.58376,83,82.28381,19.75233,2.693705
