Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.5022051,0,74.25272,50,0,0,71.77324,93.43021,5.414243,15.6061426869446,15.6061426867218,0.0000833920783838741,22.0055533883327,0.1560614,0.0000008339208,89.9999,89.9999,0.000780307,0.000000004169604
0.02,S,0.02,0.0193231,0,0.53679,0,146.9554,49.99826,0.02535258,0,71.74648,93.43021,5.420933,62.3758355778747,62.3758355776564,0.00016502058675123,22.0188150488685,0.7798197,0.000002484127,89.9999,89.9999,0.005459712,0.00000002075984
0.03,S,0.03,0.01933475,0,0.5367942,0,219.6581,49.99306,0.02538335,0,71.71972,93.43021,5.427623,109.174913586431,109.174913586152,0.000246700385791197,22.0844510116595,1.871569,0.000004951131,89.9999,89.9999,0.01871666,0.00000005793613
0.04,S,0.04,0.01939239,0,0.5368146,0,292.3608,49.98438,0.02553587,0,71.69296,93.43021,5.434313,155.996698161586,155.99669816124,0.000328419814903167,22.2709629298223,3.431536,0.000008235329,89.9999,89.9999,0.04523218,0.0000001238684
0.05,S,0.05,0.01955616,0,0.5368671,0,365.0636,49.97224,0.02597154,0,71.6662,93.43021,5.441003,202.850920123247,202.850920122832,0.000410195857594662,22.6722875429815,5.460045,0.00001233729,89.9999,89.9999,0.08969007,0.0000002267315
0.05999999,S,0.05999999,0.01990857,0,0.5369545,0,437.7664,49.95662,0.02692033,0,71.63944,93.43021,5.447693,249.747163083796,249.747163083311,0.000492045236112904,23.399632996781,7.957517,0.00001725774,89.9999,89.9999,0.1567779,0.0000003747066
0.06999999,S,0.06999999,0.02054726,0,0.5370306,0,510.4692,49.93753,0.0286793,0,71.61268,93.43021,5.454383,296.695122613781,296.695122613226,0.00057398488101765,24.5675608266405,10.92447,0.00002299759,89.9999,89.9999,0.2511878,0.0000005759833
0.07999999,S,0.07999999,0.02157282,0,0.536959,0,583.1721,49.91498,0.03160934,0,71.58592,93.43021,5.461073,343.704402440461,343.704402439835,0.000656031549687568,26.276876876627,14.36151,0.0000295579,89.9999,89.9999,0.3776177,0.0000008387607
0.08999999,S,0.08999999,0.02307379,0,0.5365063,0,599.0961,49.88895,0.03613027,0,71.55916,93.43021,5.467763,354.167106531644,354.167106531002,0.000674292412193227,28.3680355290601,17.90318,0.00003630082,89.9999,89.9999,0.5389411,0.000001168054
0.09999999,S,0.09999999,0.02491006,0,0.5355308,0,600.8252,49.86054,0.04203296,0,71.5324,93.43021,5.474453,355.499222726243,355.499222725599,0.000676617394691741,30.7355647938059,21.45817,0.00004306699,89.9999,89.9999,0.7357479,0.000001564893
