Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.607162,0,168.3015,66.7,0,0,74.83961,91.6126,4.193249,49.2117926702413,48.7004766747372,7.07559958393604,11.8167957770712,0.4870048,0.070756,85,85,0.002435024,0.00035378
0.02,S,0.02,0.01023509,0,0.6054428,0,329.4351,66.69608,0.006925658,0,74.81921,91.6126,4.198348,126.894616999836,126.136477797622,13.8503715598248,12.0725318391995,1.748369,0.2092597,85,85,0.01361189,0.001753859
0.03,S,0.03,0.0104566,0,0.6038762,0,458.7468,66.68434,0.007209962,0,74.79881,91.6126,4.203447,189.302844047737,188.31740088491,19.2904973630541,12.669773015716,3.631543,0.4021647,85,85,0.04051145,0.004810981
0.04,S,0.04,0.0109739,0,0.6023162,0,540.3258,66.66508,0.007920453,0,74.77842,91.6126,4.208545,228.734609261326,227.602683595684,22.7275140297932,13.7041411824645,5.90757,0.6294398,85,85,0.08820702,0.009969003
0.05,S,0.05,0.01186982,0,0.6023028,0,621.9048,66.64117,0.009266287,0,74.75803,91.6126,4.213644,268.210910801249,266.93128636785,26.1683211314807,15.2645713516389,8.576882,0.8911229,85,85,0.1606293,0.01757182
0.05999999,S,0.05999999,0.01322138,0,0.6022828,0,703.4838,66.6133,0.01149624,0,74.73763,91.6126,4.218743,307.73600314529,306.307849528979,29.6133238386072,17.3925045771781,11.63996,1.187256,85,85,0.2617135,0.02796371
0.06999999,S,0.06999999,0.01506449,0,0.6022554,0,785.0629,66.58146,0.01492415,0,74.71723,91.6126,4.223842,347.316620485544,345.739301197229,33.0631286050037,20.0896863875542,15.09735,1.517887,85,85,0.3954,0.04148943
0.07999999,S,0.07999999,0.01740066,0,0.6022207,0,829.4052,66.54566,0.01991063,0,74.69684,91.6126,4.22894,368.956573044626,367.297568638925,34.9492326778274,23.1813979050015,18.77033,1.867379,85,85,0.5647384,0.05841576
0.08999999,S,0.08999999,0.02007855,0,0.602181,0,848.923,66.50644,0.02650861,0,74.67645,91.6126,4.234039,378.63178158298,376.936231366513,35.7925063094535,26.5133104923245,22.53969,2.225304,85,85,0.7712885,0.07887917
0.09999999,S,0.09999999,0.0229645,0,0.6021383,0,868.4409,66.46603,0.03467385,0,74.65605,91.6126,4.239138,388.325134991401,386.592956874996,36.6373601769711,30.042288463597,26.40562,2.591677,85,85,1.016015,0.1029641
