Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4921958,0,84.02705,66,0,0,80.9818,95.9453,3.740875,9.84248150070301,8.4825916199043,4.99200175296546,11.7862253314655,0.08482592,0.04992002,83,83,0.0004241296,0.0002496001
0.02,S,0.02,0.01020861,0,0.4950323,0,163.6935,65.99767,0.005549001,0,80.96361,95.9453,3.745424,48.0243863597898,47.0294257079759,9.7249577280488,11.8961287714025,0.5551202,0.1471696,83,83,0.00362386,0.001235048
0.03,S,0.03,0.0103038,0,0.4962755,0,243.36,65.99066,0.005667163,0,80.94541,95.9453,3.749973,86.8027508752411,85.5899393377984,14.4595934818778,12.1102486389462,1.41102,0.2917655,83,83,0.01345456,0.003429724
0.04,S,0.04,0.01048927,0,0.4986102,0,323.0265,65.97899,0.005900636,0,80.92722,95.9453,3.754521,125.644788709025,124.169657967638,19.1965874554665,12.5043490112114,2.652717,0.4837314,83,83,0.03377324,0.007307208
0.05,S,0.05,0.01083061,0,0.5026216,0,402.6929,65.96265,0.006341535,0,80.90903,95.9453,3.75907,164.527317580941,162.776721845342,23.9369391456823,13.1739036385287,4.280484,0.7231008,83,83,0.06843925,0.01334137
0.05999999,S,0.05999999,0.01141055,0,0.508672,0,482.3594,65.94164,0.007123566,0,80.89083,95.9453,3.763619,203.451165459426,201.419312694196,28.681652682445,14.2155323780465,6.294677,1.009917,83,83,0.121315,0.02200646
0.06999999,S,0.06999999,0.01231276,0,0.5164641,0,562.0259,65.91595,0.008421633,0,80.87263,95.9453,3.768167,242.421873862509,240.105569550146,33.4317274158899,15.7069499852213,8.695732,1.344234,83,83,0.1962671,0.03377721
0.07999999,S,0.07999999,0.01360455,0,0.5249333,0,594.5615,65.88559,0.01045001,0,80.85444,95.9453,3.772716,258.433506113242,255.999803847816,35.3832942483151,17.5261408839967,11.25573,1.698067,83,83,0.2960244,0.04898872
0.08999999,S,0.08999999,0.01518024,0,0.5321454,0,606.8981,65.85153,0.01318957,0,80.83624,95.9453,3.777265,264.609105739541,262.13006063906,36.1359952075784,19.5674671342514,13.87703,2.059427,83,83,0.4216882,0.06777619
0.09999999,S,0.09999999,0.01694834,0,0.5374166,0,619.2347,65.81657,0.01660375,0,80.81805,95.9453,3.781814,270.794927300613,268.270432819335,36.8899380139186,21.7911171664606,16.55973,2.428326,83,83,0.573872,0.09021495
0.11,S,0.11,0.01887436,0,0.5408643,0,631.5714,65.78089,0.02072387,0,80.79986,95.9453,3.786362,276.990457159568,274.420412437232,37.6450607018488,24.1676618758157,19.30393,2.804776,83,83,0.7531903,0.1163805
0.12,S,0.12,0.02093282,0,0.5427761,0,631.353,65.74448,0.02558063,0,80.78166,95.9453,3.790911,277.052224060081,274.48172509066,37.652588860431,26.6209180805154,22.04875,3.181302,83,83,0.9599537,0.1463109
0.13,S,0.13,0.02305772,0,0.5434615,0,631.1345,65.70772,0.03107658,0,80.76347,95.9453,3.79546,277.11544090436,274.544477005738,37.6602938552505,29.1316989616714,24.7942,3.557905,83,83,1.194168,0.1800069
0.14,S,0.14,0.02523245,0,0.5432507,0,630.9161,65.67097,0.03720035,0,80.74527,95.9453,3.800009,277.178348821322,274.606922263314,37.6679611923036,31.6864909825666,27.54027,3.934585,83,83,1.455841,0.2174693
0.15,S,0.15,0.02744531,0,0.5423952,0,630.6976,65.63423,0.04394156,0,80.72707,95.9453,3.804558,277.240952336442,274.669065355625,37.6755914231594,34.2756049550767,30.28696,4.311341,83,83,1.744977,0.258699
0.16,S,0.16,0.02968791,0,0.541081,0,630.4792,65.5975,0.05129084,0,80.70888,95.9453,3.809106,277.303291626152,274.730946163328,37.683189447037,36.8919564291195,33.03427,4.688173,83,83,2.061583,0.3036965
0.17,S,0.17,0.0319541,0,0.539444,0,630.2608,65.56079,0.05923968,0,80.69068,95.9453,3.813655,277.36536418793,274.792562202682,37.6907549564672,39.5302685752408,35.7822,5.06508,83,83,2.405665,0.3524628
0.18,S,0.18,0.03423932,0,0.5375839,0,630.0425,65.52409,0.06778035,0,80.67249,95.9453,3.818204,277.427173321284,274.853916748965,37.6982883535955,42.1865354169651,38.53074,5.442063,83,83,2.77723,0.4049985
0.19,S,0.19,0.0365401,0,0.5355731,0,629.8242,65.48741,0.07690583,0,80.6543,95.9453,3.822752,277.488692001079,274.914982975844,37.7057863445538,44.8576815027801,41.27989,5.819121,83,83,3.176283,0.4613044
0.2,S,0.2,0.03885378,0,0.5334647,0,629.6058,65.45074,0.08660975,0,80.6361,95.9453,3.827301,277.549929084953,274.975769675514,37.7132500113832,47.5412967011012,44.02964,6.196253,83,83,3.602831,0.5213813
0.21,S,0.21,0.04117827,0,0.5312977,0,629.3875,65.41408,0.09688608,0,80.6179,95.9453,3.83185,277.610940809809,275.036332671642,37.7206862058591,50.2354927463118,46.78,6.57346,83,83,4.056879,0.5852299
0.22,S,0.22,0.04351193,13.67019,0.5291008,0,629.1692,65.37743,0.1077295,0,80.59971,95.9453,3.836399,277.671653850454,275.0966,37.72808,52.938740852613,49.53096,6.950741,83,82.01177,4.552188,0.6528509
