Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.010,S,0.010,0.010,0,0.4862641,0,168.8858,75,0,0,71.98251,94.64114,5.664656,40.7048521221597,39.7357098933529,8.82940233301117,11.8309688051973,0.3973571,0.08829401,83,83,0.001986786,0.00044147
0.02,S,0.02,0.01024737,0,0.4897098,0,330.0193,74.99609,0.005531093,0,71.96503,94.64114,5.669027,109.714824151472,108.349608428318,17.254129709107,12.0878858385732,1.480853,0.2608353,83,83,0.01137784,0.002187117
0.03,S,0.03,0.01046989,0,0.4926246,0,459.3311,74.98434,0.005808291,0,71.94754,94.64114,5.673399,165.197912439349,163.442506527071,24.0186871928311,12.6273382514076,3.115278,0.5010222,83,83,0.03435849,0.005996404
0.04,S,0.04,0.01093714,0,0.4982237,0,540.91,74.96509,0.006410311,0,71.93005,94.64114,5.677771,200.252718401144,198.244107232599,28.291786345113,13.5179747025447,5.097719,0.7839401,83,83,0.07542348,0.01242121
0.05,S,0.05,0.01170857,0,0.5061167,0,622.489,74.94118,0.007462848,0,71.91257,94.64114,5.682143,235.344372423387,233.079876005573,32.5690809293835,14.8389054701254,7.428518,1.109631,83,83,0.1380547,0.02188907
0.05999999,S,0.05999999,0.01285269,0,0.5153232,0,704.0681,74.9133,0.009156154,0,71.89508,94.64114,5.686514,270.475669900489,267.953521863678,36.8510261589761,16.6368926626154,10.10805,1.478141,83,83,0.2257375,0.03482793
0.06999999,S,0.06999999,0.01441002,0,0.5242987,0,785.6471,74.88146,0.01170986,0,71.87759,94.64114,5.690886,305.651602252475,302.870505033791,41.1382928678539,18.9269412752596,13.13675,1.889524,83,83,0.3419615,0.05166625
0.07999999,S,0.07999999,0.01639355,0,0.5316716,0,829.9893,74.84566,0.01536849,0,71.86011,94.64114,5.695258,324.87141696931,321.948535200528,43.4807801894297,21.5689481563458,16.35624,2.324332,83,83,0.4894264,0.07273553
0.08999999,S,0.08999999,0.01868192,0,0.5365389,0,849.5071,74.80644,0.02014114,0,71.84262,94.64114,5.699629,333.450367196643,330.464143550156,44.5263653495117,24.4328165047992,19.66088,2.769596,83,83,0.669512,0.09820517
0.09999999,S,0.09999999,0.02116247,0,0.5390689,0,869.0249,74.76604,0.02596652,0,71.82513,94.64114,5.704001,342.043813110479,338.994110120041,45.573713817043,27.4805711166845,23.05082,3.225333,83,83,0.8830705,0.1281798
0.11,S,0.11,0.0238023,0,0.5398225,0,888.5427,74.72469,0.03289439,0,71.80765,94.64114,5.708373,350.650964608456,347.537652799284,46.6227290879159,30.6862981932,26.5262,3.69156,83,83,1.130956,0.1627643
0.12,S,0.12,0.02657897,0,0.5392833,0,908.0607,74.68238,0.04097527,0,71.79016,94.64114,5.712745,359.272213411067,356.095162313381,47.6734591391669,34.0320901974229,30.08715,4.168294,83,83,1.414022,0.2020636
0.13,S,0.13,0.02947695,0,0.5378253,0,908.9344,74.63913,0.05026093,0,71.77267,94.64114,5.717116,359.871493907924,356.69001125105,47.746497266778,37.4293616669966,33.65405,4.645759,83,83,1.732728,0.2461338
0.14,S,0.14,0.03241954,0,0.5357749,0,905.1472,74.59529,0.06056404,0,71.75519,94.64114,5.721488,358.46386965688,355.292795950778,47.5749408287965,40.8477046478436,37.20698,5.121509,83,83,2.087033,0.2949702
0.15,S,0.15,0.03538039,0,0.5333658,0,901.36,74.55161,0.07180637,0,71.73769,94.64114,5.72586,357.053397917579,353.892753566083,47.4030372223646,44.2787924884346,40.74591,5.59554,83,83,2.476798,0.3485554
0.16,S,0.16,0.03835228,0,0.5307479,0,897.5729,74.50812,0.08396085,0,71.72021,94.64114,5.730231,355.639948539585,352.489754897824,47.2307705771431,47.7166808480669,44.27081,6.067848,83,83,2.901881,0.4068723
0.17,S,0.17,0.04133008,0,0.5280201,0,893.7858,74.46481,0.09700231,0,71.70272,94.64114,5.734603,354.223471546359,351.083750326971,47.0581347983882,51.1570217917052,47.78165,6.53843,83,83,3.362144,0.4699037
0.18,S,0.18,0.04431002,0,0.5252481,0,889.9987,74.42169,0.1109072,0,71.68523,94.64114,5.738975,352.804085179332,349.674857154274,46.8851446981152,54.5965651002111,51.2784,7.007282,83,83,3.857444,0.5376323
0.19,S,0.19,0.04728928,0,0.5224754,0,886.2117,74.37875,0.1256534,0,71.66775,94.64114,5.743347,351.381705180249,348.262991839049,46.711789204587,58.0328344890782,54.76103,7.4744,83,83,4.387641,0.6100407
0.2,S,0.2,0.05026572,11.67014,0.5197309,0,882.4247,74.336,0.1412201,0,71.65026,94.64114,5.747718,349.95647744109,346.8483,46.53808,61.4639097571734,58.22951,7.939781,83,82.23542,4.969936,0.6871116
0.21,S,0.21,0.05323768,11.07973,0.867125,1.533093,878.6378,74.29343,0.2642922,0.5207779,71.63277,94.64114,5.75209,348.482618852375,345.4124,46.15636,64.8874727504926,61.68364,8.401345,82.99986,82.24401,5.586772,0.7688172
0.22,S,0.22,0.05620316,10.55035,0.8301024,1.459653,874.851,74.25104,0.2819726,0.5493946,71.61529,94.64114,5.756462,347.051293387315,343.9932,45.97041,68.3031318932759,65.12357,8.86105,82.99942,82.25163,6.238008,0.8551292
0.23,S,0.23,0.0591618,10.07301,0.7981871,1.393314,871.0642,74.20883,0.3004212,0.5780327,71.5978,94.64114,5.760833,345.617194436042,342.571,45.78597,71.7099322425896,68.54929,9.31891,82.99867,82.2584,6.923501,0.946029
0.24,S,0.24,0.06211279,9.640393,0.7704368,1.333119,867.2776,74.16681,0.3196176,0.6066879,71.58031,94.64114,5.765205,344.180237547731,341.1457,45.60315,75.1070578908043,71.96075,9.774941,82.99762,82.26445,7.643108,1.041498
0.25,S,0.25,0.06505542,9.246449,0.7461183,1.278265,863.4909,74.12497,0.3395425,0.6353559,71.56283,94.64114,5.769577,342.740420207794,339.7173,45.42193,78.493849292799,75.35792,10.22916,82.99622,82.26986,8.396688,1.141519
0.26,S,0.26,0.06798913,8.886182,0.7256438,1.227916,859.7042,74.08331,0.3606692,0.663942,71.54534,94.64114,5.773949,341.297570865162,338.2856,45.24251,81.869767208363,78.74078,10.68159,82.99447,82.27469,9.184095,1.246073
0.27,S,0.27,0.07091343,8.555398,0.7079529,1.181618,855.9177,74.04184,0.3827851,0.6924839,71.52785,94.64114,5.77832,339.851691083581,336.8506,45.0649,85.2343353426555,82.10929,11.13224,82.99236,82.27901,10.00519,1.355142
0.28,S,0.28,0.07382792,8.250561,0.6921979,1.138965,852.1311,74.00056,0.40565,0.7210144,71.51037,94.64114,5.782692,338.403085131449,335.4126,44.88915,88.5871588531583,85.46342,11.58113,82.98988,82.28287,10.85982,1.468709
0.29,S,0.29,0.07673228,7.968659,0.6780874,1.099539,848.3447,73.95946,0.429247,0.7495233,71.49288,94.64114,5.787064,336.95166617465,333.9715,44.71535,91.9278897663113,88.80313,12.02828,82.98699,82.2863,11.74785,1.586756
0.3,S,0.3,0.07962617,7.707143,0.6653842,1.062982,844.5582,73.91854,0.4535599,0.7780017,71.4754,94.64114,5.791435,335.497446570578,332.5273,44.54359,95.2562471047123,92.1284,12.47372,82.9837,82.28933,12.66914,1.709265
0.31,S,0.31,0.08250938,7.463798,0.653893,1.028988,840.7718,73.87781,0.4785731,0.8064396,71.45791,94.64114,5.795807,334.040429459867,331.08,44.37389,98.5719737622945,95.4392,12.91746,82.98,82.292,13.62353,1.836221
0.32,S,0.32,0.08538167,7.23671,0.6434509,0.9972869,836.9855,73.83726,0.5042708,0.8348253,71.44042,94.64114,5.800179,332.580723810074,329.6297,44.20632,101.874845203812,98.7355,13.35952,82.97586,82.29433,14.61088,1.967606
0.33,S,0.33,0.08824286,7.024228,0.6339219,0.9676464,833.1992,73.79689,0.5306368,0.8631461,71.42294,94.64114,5.804551,331.118245770103,328.1763,44.04099,105.164695615522,102.0173,13.79993,82.97128,82.29633,15.63106,2.103403
0.3399999,S,0.3399999,0.09109279,6.82491,0.6251922,0.9398627,829.413,73.75671,0.5576565,0.8913885,71.40545,94.64114,5.808922,329.652997404859,326.7198,43.87791,108.441281456664,105.2845,14.23871,82.96623,82.29803,16.6839,2.243597
0.3499999,S,0.3499999,0.09393126,6.637478,0.6171651,0.9137574,825.6268,73.71671,0.5853147,0.9195404,71.38796,94.64114,5.813294,328.185091957637,325.2603,43.71718,111.704473981999,108.5371,14.67588,82.96071,82.29944,17.76927,2.38817
0.3599999,S,0.3599999,0.09675816,6.460824,0.6097586,0.8891734,821.8406,73.6769,0.6135961,0.9475876,71.37048,94.64114,5.817666,326.714338802389,323.7976,43.55885,114.954163215752,111.7751,15.11147,82.9547,82.30056,18.88702,2.537106
0.3699999,S,0.3699999,0.09957339,6.293229,0.602902,0.8659704,821.1627,73.63727,0.6424867,0.9757375,71.35299,94.64114,5.822037,326.598912310406,323.6797,43.5695,118.203671570031,115.0119,15.54716,82.94818,82.3015,20.03714,2.690399
0.3799999,S,0.3799999,0.1023885,6.133862,0.5965078,0.8439291,820.8301,73.59776,0.6720938,1.003886,71.3355,94.64114,5.826409,326.63353425046,323.7103,43.60169,121.454431565138,118.249,15.98318,82.94115,82.30225,21.21963,2.848051
0.3899999,S,0.3899999,0.1052047,5.982038,0.5905268,0.8229449,820.4977,73.55826,0.7024277,1.032009,71.31802,94.64114,5.830781,326.667884265534,323.7402,43.63702,124.706376665086,121.4864,16.41955,82.9336,82.3028,22.4345,3.010065
0.3999999,S,0.3999999,0.108022,5.837142,0.5849181,0.802932,820.1653,73.51878,0.7334843,1.060088,71.30053,94.64114,5.835152,326.701877534149,323.7693,43.67559,127.959451816538,124.7241,16.85631,82.9255,82.30318,23.68174,3.176444
0.4099999,S,0.4099999,0.1108403,5.698625,0.579646,0.7838116,819.8329,73.47931,0.7652592,1.088104,71.28304,94.64114,5.839524,326.735532495413,323.7976,43.71753,131.21360561329,127.9621,17.29349,82.91685,82.30337,24.96136,3.347193
0.4199999,S,0.4199999,0.1136596,5.565996,0.5746796,0.7655159,819.5005,73.43987,0.7977496,1.11604,71.26556,94.64114,5.843896,326.768956139031,323.8252,43.76289,134.468694628282,131.2003,17.73112,82.90762,82.30337,26.27336,3.522316
0.4299999,S,0.4299999,0.1164797,5.438793,0.569991,0.7479814,819.1683,73.40044,0.8309506,1.143878,71.24807,94.64114,5.848268,326.801964994311,323.8519,43.81177,137.72477767439,134.4388,18.16924,82.89782,82.30318,27.61775,3.701818
