# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
0,0,0,34.446,0,34.704,0,0,0,0,0,4.2294,33,107,32.137,83,0,0,0,71.957,4.0372,8.1953,0.058685,NaN,27.825,NaN,0.011873,337748,41.412,7.2505e-5,0.67003,0.0028511,0.55,8.1885e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0017509
0.01,0.0017223,0.34446,166.66,0.34704,167.91,2.1147e-4,0,2.1147e-4,0,0.042294,20.463,33,107,32.137,81.514,0,0,0,71.957,4.0372,8.1953,0.058685,NaN,27.825,NaN,0.011905,338672,124.23,1.2768e-4,0.66969,0.0049934,0.54967,8.2334e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2581e-5,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0020161
0.02,0.013501,2.0114,283.6,2.0265,285.73,0.0016577,0,0.0016577,0,0.24697,34.822,33,107,32.137,74.509,0,0,0,71.94,4.0207,8.193,0.058683,NaN,27.821,NaN,0.012209,347315,197.45,7.4903e-4,0.66663,0.027854,0.5466,8.6591e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4865e-4,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0022579
0.03,0.047798,4.8482,308.52,4.8846,310.84,0.0058689,0,0.0058689,0,0.59528,37.882,33,107,32.137,63.657,0,0,0,71.919,3.9994,8.1899,0.05868,NaN,27.816,NaN,0.013118,373186,213,0.0036412,0.65803,0.11728,0.538,9.9973e-6,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9932e-4,2.25,3.9761,83,0,NaN,58.098,1004.2,1115.8,0.01,0.0026574
0.04,0.11171,7.9346,318.15,7.9941,320.54,0.013716,0,0.013716,0,0.97424,39.064,33,107,32.137,53.769,0,0,0,71.888,3.9685,8.1854,0.058676,NaN,27.808,NaN,0.014562,414267,218.94,0.009862,0.64589,0.25777,0.52585,1.232e-5,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.8085e-4,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.0029168
0.05,0.20697,11.117,327.8,11.201,330.26,0.025413,0,0.025413,0,1.365,40.249,33,107,32.137,45.635,0,0,0,71.853,3.933,8.1803,0.058672,NaN,27.799,NaN,0.016418,467054,224.88,0.019536,0.63246,0.40173,0.51241,1.566e-5,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013743,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.0031664
0.06,0.33454,14.397,337.46,14.505,339.99,0.041076,0,0.041076,0,1.7677,41.434,33,107,32.137,39.291,0,0,0,71.817,3.8974,8.1751,0.058668,NaN,27.79,NaN,0.018673,531206,230.81,0.03249,0.6186,0.51648,0.49854,2.0259e-5,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0017797,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.0035265
0.07,0.49539,17.773,346.72,17.906,349.32,0.060826,0,0.060826,0,2.1822,42.572,33,107,32.137,34.227,0,0,0,71.781,3.8618,8.17,0.058663,NaN,27.781,NaN,0.021179,602489,236.51,0.048526,0.60559,0.59965,0.48551,2.6063e-5,0.12006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002197,2.25,3.9761,83,0,NaN,58.096,1004.2,1115.8,0.01,0.0037867
0.08,0.69045,21.241,349.73,21.401,352.35,0.084777,0,0.084777,0,2.6081,42.941,33,107,32.137,30.158,0,0,0,71.745,3.8258,8.1648,0.058659,NaN,27.772,NaN,0.023887,679525,238.28,0.067427,0.59363,0.655,0.47353,3.3157e-5,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026258,2.25,3.9761,83,0,NaN,58.095,1004.2,1115.8,0.01,0.0040265
0.09,0.92036,24.74,350.58,24.926,353.21,0.11301,0,0.11301,0,3.0377,43.046,33,107,32.137,26.903,0,0,0,71.708,3.7885,8.1593,0.058654,NaN,27.763,NaN,0.026715,759975,238.71,0.088647,0.58291,0.68847,0.46278,4.1478e-5,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0030583,2.25,3.9761,83,0,NaN,58.094,1004.2,1115.8,0.01,0.0045524
