# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (ft/s²),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
0,0,0,436.68,0,439.96,0,0,0,0,0,53.618,33,107,32.137,83,0,0,0,101.78,19.629,10.147,0.067153,NaN,31.93,NaN,0.0064511,183519,415,2.41E-05,0.75293,0.0032038,0.63292,2.42E-06,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.036313
0.01,0.021834,4.3668,1405,4.3996,1415.5,0.0026809,0,0.0026809,0,0.53618,172.51,33,107,32.137,53.428,0,0,0,101.78,19.629,10.147,0.067153,NaN,31.93,NaN,0.0079304,225599,1273,0.0033478,0.72289,0.29506,0.60288,3.65E-06,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.40E-04,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.036808
0.02,0.13581,18.432,1947.5,18.57,1962.1,0.016676,0,0.016676,0,2.2632,239.12,33,107,32.137,19.983,0,0,0,101.65,19.496,10.139,0.067121,NaN,31.916,NaN,0.018537,527342,1751.5,0.049445,0.61937,0.79756,0.49931,2.00E-05,0.12004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0022785,2.25,3.9761,83,0,NaN,58.097,1004.2,1115.8,0.01,0.03712
0.03,0.41766,37.945,2040.9,38.23,2056.3,0.051282,0,0.051282,0,4.6591,250.6,33,107,32.137,10.195,0,0,0,101.41,19.259,10.125,0.067063,NaN,31.891,NaN,0.035599,1012699,1830,0.15269,0.55921,0.66785,0.43898,7.37E-05,0.12016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0046907,2.25,3.9761,83,0,NaN,58.096,1004.2,1115.8,0.01,0.037463
0.04,0.89935,58.402,2108.4,58.84,2124.3,0.11043,0,0.11043,0,7.1708,258.88,33,107,32.137,6.6803,0,0,0,101.13,18.977,10.109,0.066994,NaN,31.86,NaN,0.053871,1532452,1884.5,0.32294,0.55945,0.61683,0.4389,1.69E-04,0.12038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0072195,2.25,3.9761,83,0,NaN,58.094,1004.2,1115.8,0.01,0.037928
0.05,1.589,79.536,2140,80.133,2156,0.1951,0,0.1951,0,9.7658,262.75,33,107,32.137,4.9078,0,0,0,100.84,18.685,10.092,0.066922,NaN,31.828,NaN,0.072852,2072374,1907,0.56845,0.5598,0.59371,0.4388,3.09E-04,0.12069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0098321,2.25,3.9761,83,0,NaN,58.091,1004.1,1115.8,0.01,0.038362
0.06,2.4916,100.99,2196.3,101.75,2212.8,0.30592,0,0.30592,0,12.4,269.67,33,107,32.137,3.9144,0,0,0,100.54,18.387,10.075,0.066849,NaN,31.796,NaN,0.092178,2622063,1951,0.89344,0.56026,0.58289,0.43866,4.97E-04,0.1211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.012484,2.25,3.9761,83,0,NaN,58.088,1004.1,1115.8,0.01,0.038865
0.07,3.6115,123,2253.6,123.93,2270.5,0.44343,0,0.44343,0,15.103,276.7,33,107,32.137,3.2507,0,0,0,100.24,18.083,10.057,0.066774,NaN,31.762,NaN,0.11203,3186727,1995.5,1.3063,0.56085,0.57695,0.43848,7.36E-04,0.12163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.015206,2.25,3.9761,83,0,NaN,58.084,1004.1,1115.7,0.01,0.039343
0.08,4.9544,145.6,2298.6,146.69,2315.8,0.60833,0,0.60833,0,17.877,282.23,33,107,32.137,2.7759,0,0,0,99.927,17.773,10.039,0.066698,NaN,31.728,NaN,0.13242,3766392,2029,1.8141,0.56157,0.57358,0.43826,0.0010313,0.12228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.017998,2.25,3.9761,83,0,NaN,58.079,1004,1115.7,0.01,0.039807
0.09,6.5255,168.64,2334.7,169.91,2352.2,0.80124,0,0.80124,0,20.706,286.66,33,107,32.137,2.4213,0,0,0,99.61,17.457,10.02,0.066621,NaN,31.693,NaN,0.15321,4357791,2054.5,2.4207,0.56244,0.57173,0.438,0.0013867,0.12305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.020847,2.25,3.9761,83,0,NaN,58.074,1004,1115.7,0.01,0.040242
