Time (sec),Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.01,0.01,0.01,0,0.6299423,0,12.29406,4.63,0,0,53.2577401,53.2577401,0.000149107,0.5325774,0.5325774,1.49107E-06,89.9999,89.9999,0.002662887,7.45532E-09
0.02,0.02,0.01,0,0.6299423,0,24.58811,4.629712,5.78935E-06,0,138.7000601,138.7000601,0.000298231,1.919578,1.919578,4.47338E-06,89.9999,89.9999,0.01492366,3.72776E-08
0.03,0.03,0.01,0,0.6299423,0,36.88217,4.628848,7.521E-05,0,224.184466,224.184466,0.00044743,4.161423,4.161423,8.94768E-06,89.9999,89.9999,0.04532867,1.04383E-07
0.04,0.04,0.01,0,0.6299425,0,38.07602,4.627409,0.000353466,0,232.563018,232.563018,0.000462053,6.487053,6.487053,1.35682E-05,89.9999,89.9999,0.09857105,2.16962E-07
0.05,0.05,0.01,0,0.6299427,0,39.26986,4.625653,0.00085893,0,240.9638611,240.9638611,0.000476715,8.896691,8.896691,1.83354E-05,89.9999,89.9999,0.1754898,3.7648E-07
0.05999999,0.05999999,0.01,0,0.629943,0,40.46371,4.623841,0.001615547,0,249.3727761,249.3727761,0.000491392,11.39042,11.39042,2.32493E-05,89.9999,89.9999,0.2769253,5.84404E-07
0.06999999,0.06999999,0.0100486,0,0.6293834,0,41.65757,4.621974,0.002645788,0,257.7898687,257.7898687,0.000506082,13.96832,13.96832,2.83101E-05,89.9999,89.9999,0.403719,8.42201E-07
0.07999999,0.07999999,0.01232283,0,0.607011,0,42.85143,4.62005,0.003837458,0,266.2163188,266.2163188,0.000520789,16.63048,16.63048,0.000033518,89.9999,89.9999,0.556713,1.15134E-06
0.08999999,0.08999999,0.01467139,0,0.5910515,0,44.04528,4.618071,0.005296535,0,274.6516212,274.6516212,0.000535512,19.377,19.377,3.88731E-05,89.9999,89.9999,0.7367504,1.5133E-06
0.09999999,0.09999999,0.01709438,0,0.5909876,0,44.57626,4.616036,0.007189631,0,278.4746012,278.4746012,0.000542184,22.16175,22.16175,4.4295E-05,89.9999,89.9999,0.9444441,1.92914E-06
0.11,0.11,0.01955109,0,0.5909389,0,44.82313,4.613955,0.0094038,0,280.3207629,280.3207629,0.000545406,24.96496,24.96496,4.9749E-05,89.9999,89.9999,1.180078,2.39936E-06
0.12,0.12,0.0220241,0,0.5908899,0,45.07001,4.611862,0.01193214,0,282.1673104,282.1673104,0.000548629,27.78663,27.78663,5.52353E-05,89.9999,89.9999,1.443836,2.92428E-06
0.13,0.13,0.0245134,0,0.5908407,0,45.31689,4.609756,0.0147805,0,284.0141171,284.0141171,0.000551852,30.62677,30.62677,6.07538E-05,89.9999,89.9999,1.735903,3.50422E-06
0.14,0.14,0.027019,0,0.5907911,0,45.56378,4.607639,0.01795478,0,285.8611624,285.8611624,0.000555076,33.48538,33.48538,6.63046E-05,89.9999,89.9999,2.056463,4.13952E-06
0.15,0.15,0.02954091,0,0.5907412,0,45.81067,4.605511,0.0214609,0,287.7084131,287.7084131,0.0005583,36.36246,36.36246,7.18876E-05,89.9999,89.9999,2.405702,4.83048E-06
0.16,0.16,0.03207912,0,0.5906911,0,46.01702,4.603371,0.02530482,0,289.27253,289.27253,0.00056103,39.25519,39.25519,7.74979E-05,89.9999,89.9999,2.783791,5.5774E-06
0.17,0.17,0.03463114,0,0.5906409,0,46.18285,4.60122,0.02948831,0,290.5530906,290.5530906,0.000563265,42.16072,42.16072,8.31305E-05,89.9999,89.9999,3.19087,6.38055E-06
