Time (sec),Stage Time (sec),Mach,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),Accel-R (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Vel-R (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0.01,0.01,0.01,0,0.6299423,0,186.5915,6.5,0,0,891.4251538,891.4251538,0.001611985,8.914251,8.914251,1.61199E-05,89.9999,89.9999,0.04457125,8.05992E-08
0.02,0.02,0.01,0,0.6299425,0,385.7723,6.495921,0.001621935,0,1878.530384,1878.530384,0.003334808,27.69955,27.69955,4.94679E-05,89.9999,89.9999,0.2276402,4.08538E-07
0.03,0.03,0.02443648,0,0.5908421,0,401.7338,6.48341,0.01468851,0,1961.361748,1961.361748,0.003479376,47.31317,47.31317,8.42617E-05,89.9999,89.9999,0.6027038,1.07719E-06
0.04,0.04,0.04173963,0,0.5905008,0,421.0674,6.466196,0.04282931,0,2062.727377,2062.727377,0.003656293,67.94044,67.94044,0.000120825,89.9999,89.9999,1.178972,2.10262E-06
0.05,0.05,0.05993709,0,0.5901439,0,426.238,6.448211,0.08826014,0,2094.143445,2094.143445,0.003711124,88.88187,88.88187,0.000157936,89.9999,89.9999,1.963083,3.49642E-06
0.05999999,0.05999999,0.07841185,0,0.5897834,0,431.1839,6.429689,0.1509594,0,2124.703726,2124.703726,0.003764462,110.1289,110.1289,0.00019558,89.9999,89.9999,2.958137,5.264E-06
0.06999999,0.06999999,0.09715637,0,0.5894197,0,446.0214,6.410947,0.23161,0,2205.068086,2205.068086,0.003904724,132.1796,132.1796,0.000234628,89.9999,89.9999,4.16968,7.41504E-06
0.07999999,0.07999999,0.1166101,0,0.5890445,0,451.1921,6.391772,0.3334214,0,2236.994984,2236.994984,0.004032575,154.5495493,154.5495493,0.000274953,89.9999,89.9999,5.715175,9.96295E-06
0.08999999,0.08999999,0.1363458,0,0.5886661,0,461.0839,6.37216,0.4555163,0,2293.249786,2293.249786,0.004141185,177.4820467,177.4820467,0.000316365,89.9999,89.9999,7.489995,1.29195E-05
0.09999999,0.09999999,0.1565781,0,0.5882804,0,462.6577,6.352219,0.6003059,0,2307.735685,2307.735685,0.004174561,200.559403,200.559403,0.000358111,89.9999,89.9999,9.495589,1.62919E-05
0.11,0.11,0.1769386,0,0.5878949,0,466.2549,6.332026,0.7660246,0,2332.575977,2332.575977,0.004225667,223.8851623,223.8851623,0.000400367,89.9999,89.9999,11.73444,2.00843E-05
0.12,0.12,0.1975186,0,0.5875075,0,469.8521,6.311722,0.9538848,0,2357.504579,2357.504579,0.004276363,247.4602075,247.4602075,0.000443131,89.9999,89.9999,14.20904,2.43018E-05
0.13,0.13,0.2183191,0,0.5871183,0,470.7516,6.29126,1.164503,0,2368.743473,2368.743473,0.004302073,271.1476417,271.1476417,0.000486152,89.9999,89.9999,16.92052,2.89482E-05
0.14,0.14,0.2392193,0,0.5867296,0,471.6511,6.2707,1.397087,0,2379.979441,2379.979441,0.004327345,294.9474356,294.9474356,0.000529425,89.9999,89.9999,19.86999,3.40261E-05
0.15,0.15,0.2602192,0,0.586766,0,475.8104,6.2501,1.653084,0,2407.959483,2407.959483,0.004382321,319.0270299,319.0270299,0.000573248,89.9999,89.9999,23.06026,3.95395E-05
0.16,0.16,0.2814666,0,0.5872554,0,479.9697,6.22939,1.935472,0,2436.028154,2436.028154,0.004437209,343.3873109,343.3873109,0.000617621,89.9999,89.9999,26.49413,4.54938E-05
0.17,0.17,0.3029623,0,0.5877491,0,480.3072,6.208498,2.244021,0,2444.422141,2444.422141,0.004456476,367.8315318,367.8315318,0.000662185,89.9999,89.9999,30.17245,5.18929E-05
0.18,0.18,0.3245329,0,0.5882435,0,480.6448,6.187507,2.576799,0,2452.786532,2452.786532,0.004475441,392.3593965,392.3593965,0.00070694,89.9999,89.9999,34.09605,5.87385E-05
0.19,0.19,0.3461781,0,0.5887383,0,481.0948,6.166502,2.934078,0,2461.670549,2461.670549,0.004495128,416.9761015,416.9761015,0.000751891,89.9999,89.9999,38.26581,6.60326E-05
0.2,0.2,0.3679025,0,0.5892336,0,481.5449,6.14548,3.316228,0,2470.492037,2470.492037,0.004514513,441.6810213,441.6810213,0.000797036,89.99989,89.99989,42.68262,7.37773E-05
0.21,0.21,0.3897058,0,0.5897296,0,481.7252,6.124437,3.723536,0,2477.832881,2477.832881,0.004531056,466.4593496,466.4593496,0.000842347,89.99989,89.99989,47.34721,8.19742E-05
0.22,0.22,0.4115747,0,0.5902258,0,481.9055,6.103382,4.15603,0,2485.09651,2485.09651,0.004547305,491.3103141,491.3103141,0.00088782,89.99989,89.99989,52.26031,9.0625E-05
0.23,0.23,0.4335088,0,0.5907221,0,482.0859,6.082318,4.613947,0,2492.278791,2492.278791,0.004563268,516.2331014,516.2331014,0.000933452,89.99989,89.99989,57.42264,9.97314E-05
0.24,0.24,0.4555074,0,0.5912188,0,482.2663,6.061246,5.09753,0,2499.37737,2499.37737,0.004578955,541.2268746,541.2268746,0.000979242,89.99989,89.99989,62.83491,0.000109295
0.25,0.25,0.4775699,0,0.5917158,0,482.4467,6.040167,5.607005,0,2506.390818,2506.390818,0.004594371,566.2907822,566.2907822,0.001025186,89.99989,89.99989,68.49782,0.000119317
0.26,0.26,0.4996954,0,0.5922126,0,482.6271,6.01908,6.1426,0,2513.317133,2513.317133,0.004609524,591.423953,591.423953,0.001071281,89.99989,89.99989,74.41206,0.000129799
0.27,0.27,0.5218833,0,0.5927098,0,482.8076,5.997984,6.704541,0,2520.153102,2520.153102,0.004624419,616.6254834,616.6254834,0.001117525,89.99989,89.99989,80.57831,0.000140743
0.28,0.28,0.5441329,0,0.5932072,0,482.9881,5.976882,7.293054,0,2526.897233,2526.897233,0.004639059,641.8944552,641.8944552,0.001163916,89.99989,89.99989,86.99725,0.000152151
0.29,0.29,0.5664434,0,0.5937048,0,483.1686,5.95577,7.908349,0,2533.547172,2533.547172,0.004653447,667.2299263,667.2299263,0.00121045,89.99989,89.99989,93.66956,0.000164022
0.3,0.3,0.5888141,0,0.5941549,0,483.3492,5.934652,8.549957,0,2540.105718,2540.105718,0.004667592,692.630983,692.630983,0.001257126,89.99989,89.99989,100.5959,0.00017636
0.31,0.31,0.6112442,0,0.5953456,0,483.17,5.913526,9.230142,0,2544.545707,2544.545707,0.004677822,718.0764395,718.0764395,0.001303904,89.99989,89.99989,107.7766,0.000189165
0.32,0.32,0.633715,0,0.5972915,0,482.9909,5.892399,9.951359,0,2548.790989,2548.790989,0.004687629,743.5643488,743.5643488,0.001350781,89.99989,89.99989,115.2123,0.000202439
0.33,0.33,0.656225,0,0.5992332,0,482.8119,5.87128,10.70297,0,2552.896525,2552.896525,0.004697118,769.0933135,769.0933135,0.001397752,89.99989,89.99989,122.9032,0.000216182
0.3399999,0.3399999,0.6787729,0,0.6011704,0,482.6328,5.850169,11.48525,0,2556.858501,2556.858501,0.004706286,794.6618979,794.6618979,0.001444815,89.99989,89.99989,130.8498,0.000230394
